loss : 0.637858, modify_loss : 0.314415
loss : 0.743864, modify_loss : 0.271797
loss : 0.804305, modify_loss : 0.286716
loss : 0.751878, modify_loss : 0.273742
loss : 0.737991, modify_loss : 0.279876
loss : 0.679362, modify_loss : 0.288220
loss : 0.680436, modify_loss : 0.303138
loss : 0.660837, modify_loss : 0.301219
loss : 0.652072, modify_loss : 0.302407
loss : 0.703699, modify_loss : 0.301000
loss : 0.645770, modify_loss : 0.296114
loss : 0.678175, modify_loss : 0.283751
loss : 0.839338, modify_loss : 0.249899
loss : 0.725971, modify_loss : 0.285545
loss : 0.694340, modify_loss : 0.303781
loss : 0.709290, modify_loss : 0.290850
loss : 0.631447, modify_loss : 0.325214
loss : 0.725057, modify_loss : 0.284794
loss : 0.672684, modify_loss : 0.315614
loss : 0.670858, modify_loss : 0.314187
loss : 0.671097, modify_loss : 0.309167
loss : 0.676296, modify_loss : 0.287393
loss : 0.666944, modify_loss : 0.301160
loss : 0.659878, modify_loss : 0.301941
loss : 0.712302, modify_loss : 0.305287
